YORF	NAME	pUM484_gal, wt exoY TAP -  C130523_Haplo_pUM484Gal - 2013-06-30	pUM484_gal, wt exoY TAP -  C130418_Haplo_pUM484Gal - 2013-04-19	pUM497_gal, mut exoY TAP -  C130418_Haplo_pUM497Gal - 2013-04-1	pUM497_gal, mut exoY TAP -  C130523_Haplo_pUM497Gal - 2013-06-3	C100505_9 -  C100505_9 - 2010-05-06 - 1	C110329_C2 -  C110329_C2 - 2011-03-30 - 2	S110126_10G30C -  S110126_10G30C - 2011-01-27 - 3	S110126_10G37C -  S110126_10G37C - 2011-01-27 - 4	S100119_10G30C -  S100119_10G30C - 2010-01-20 - 6	C110503_9Colist20A -  C110503_9Colist20A - 2011-05-04 - 7	C100505_7 -  C100505_7 - 2010-05-06 - 9	C110503_5AminoC10A -  C110503_5AminoC10A - 2011-05-04 - 10
YAL068C	YAL068C - PAU8	-0.266219076915467	0.411880275688874	-0.0245952208650044	-0.075945009351555	-0.0953280868532888	-0.259852429191253	-0.155288237771506	0.0131041848413383	0.414172543883626	-0.0550661468401724	0.101211546890927	-0.246209318780911
YAL067C	YAL067C - SEO1	-0.107467836946114	0.105869508834745	-0.0714483073564209	-0.0552388611949975	-0.148529585856437	0.103639683548551	-0.243482261726902	0.226704437921905	0.00754285339933258	-0.00696462699145296	0.169461138190841	-0.0158063975114844
YAL066W	YAL066W	0.558395745695413	0.212252372261852	0.857214471785063	0.313395943798373	0.477897344098417	0.0493444280942478	0.0803384356698202	-0.238908959009905	-0.00461480823512667	-0.0633894291802986	-0.0468863015433833	0.208643336035004
YAL065C	YAL065C	-0.272112647952455	-0.193614030979443	0.0647808010041275	-0.231582155098308	-0.178504408755887	-0.155200302980356	-0.327604079264873	-0.00319375071337532	0.00269676969259894	0.323419149089203	-0.0433338365949816	-0.0786152606553546
YAL064C-A	YAL064C-A - TDA8	0.0597457110290875	0.17045122247862	0.161250145889686	0.202689361973389	-0.0256195687350313	-0.145672303164133	0.0743636114088135	0.226781422745049	-0.0443008049403394	0.241914234862608	-0.042194464938942	0.0267501775222988
YAL062W	YAL062W - GDH3	0.14151018840294	-0.0360264081386795	0.13989100202513	-0.569880218852583	-0.293941647358355	0.0488621940057981	0.0197736414979642	0.0496086986619674	-0.315117035054892	-0.166352157226921	0.118307320788402	-0.293139110061714
YAL061W	YAL061W - BDH2	0.208012743859544	0.0182178479140202	-0.219507846700223	0.272081669905807	-0.274554479855693	-0.0358006259111615	-0.00078202695172792	-0.00735209786398066	-0.0886127174502719	0.126471569727627	-0.181803461868476	0.203565025840288
YAL060W	YAL060W - BDH1	-0.0172675528426931	-0.18735196451354	-0.0548444927878922	-0.247337763791971	-0.079807137601876	-0.0599523263723831	0.449398589232554	0.417806311516482	-0.228796456506039	-0.341068604673152	-0.486794975421307	-0.41893936722165
YAL059W	YAL059W - ECM1	-0.414953321331472	-0.686201275049721	0.390151606009268	-0.759836224903757	0.465536288563871	-0.135501963106461	-0.0856486075242727	0.0344725858360425	-0.0256382716864618	0.747826003815546	1.08836279086156	0.175539638603994
YAL058W	YAL058W - CNE1	-0.55180965869013	0.66275271034631	-0.23109891198307	-0.475563160422448	1.93326368350279	-0.205823912981987	0.0183035328585688	-0.0249741244842666	-0.9466877546079	-0.288190996656397	1.17093837937907	1.28687751304876
YAL056C-A	YAL056C-A	-0.890453054522667	0.11614680445888	-0.333722917400074	-0.375129406121373	1.40864019052333	0.154052878135837	-0.00266100573088102	0.00965915921609067	-0.392821169673096	-0.134984118918875	1.5180836119489	1.36492385285427
YAL056W	YAL056W - GPB2	-1.19618010640807			-0.303077363353924	-0.0231627353749087	-0.0299248698967447			-0.0221962247704673	0.266440431305917	0.499546805937913	0.269250581029268
YAL055W	YAL055W - PEX22	-0.190426009939685	0.0952360921132836	0.524439323118475	-0.434388008601043	-0.768608622199944	0.164710564261522	-0.00653496652140362	0.0284009482322101	-0.0576570221503868	0.265163233039894	-0.776132907261327	0.245329472208123
YAL054C	YAL054C - ACS1	-0.112753171898605	-0.135747537049547	-0.0251316770690389	-0.204660054689355	-0.185857732055289	-0.104046179283317	0.0151428306298367	0.155752484621791	0.00328449089204289	0.362497331578066	0.103286718896571	0.18863462718366
YAL053W	YAL053W - FLC2	0.0850762358029577	-0.195973104393756	0.0973205836903901	0.544985333222429	0.399137704114526	0.0778569908290024	0.193399832462488	-0.0813805832427602	0.0047060625878064	0.285116278026975	0.431464661991591	0.0454835711765627
YAL051W	YAL051W - OAF1	-0.617288493934143	-0.126104555507108	0.0614809398008648	-0.108349203835893	-0.301807256238647	0.116546433902304	-0.00209300608517853	0.273784832902552	-0.162795012809424	0.114150439493671	0.0948530696024314	-0.291596901850869
YAL049C	YAL049C - AIM2			-0.110872059646997		0.778883969972458	0.337465261111203	-0.12028066261843	-0.592828406666923	0.09805042173581	0.105832164504427	0.663355413346471	0.0402704189141884
YAL048C	YAL048C - GEM1					-0.154863479005195	-0.242215416371199	-1.20442175074689	-1.4275210742142	-0.673482434347653	0.434484310874157	-0.841452757741068	0.0442966868395992
YAL047C	YAL047C - SPC72		-0.642090370234439			0.929721758026795	-0.609852926164644	0.0137582596031796	0.223666551852705	-0.576198975264706	0.571619047545784	1.84235930412579	-0.193866210786065
