Type	Dubious	ORF	Gene	Chr	Start	End	Description	DAMP
ORF	Dubious	YAL069W		1	335	649	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	 
ORF	Dubious	YAL068W-A		1	538	792	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	 
ORF	Verified	YAL068C	PAU8	1	2169	1807	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions	 
ORF	Uncharacterized	YAL067W-A		1	2480	2707	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	 
ORF	Verified	YAL067C	SEO1	1	9016	7235	Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide	 
ORF	Dubious	YAL066W		1	10091	10399	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	 
ORF	Uncharacterized	YAL065C		1	11951	11565	Putative protein of unknown function; has homology to FLO1; possible pseudogene	 
ORF	Uncharacterized	YAL064W-B		1	12046	12426	Fungal-specific protein of unknown function	 
ORF	Uncharacterized	YAL064C-A	TDA8	1	13743	13363	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene	 
ORF	Verified	YAL064W		1	21566	21850	Protein of unknown function; may interact with ribosomes, based on co-purification experiments	 
ORF	Uncharacterized	YAL063C-A		1	22685	22395	Putative protein of unknown function; identified by expression profiling and mass spectrometry	 
ORF	Verified	YAL063C	FLO9	1	27968	24000	Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation	 
ORF	Verified	YAL062W	GDH3	1	31567	32940	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication	 
ORF	Uncharacterized	YAL061W	BDH2	1	33448	34701	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3	 
ORF	Verified	YAL060W	BDH1	1	35155	36303	NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source	 
ORF	Verified	YAL059W	ECM1	1	36509	37147	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm	 
ORF	Dubious	YAL059C-A		1	36918	36496	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W	 
ORF	Verified	YAL058W	CNE1	1	37464	38972	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast	 
ORF	Dubious	YAL056C-A		1	39046	38696	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	 
ORF	Verified	YAL056W	GPB2	1	39259	41901	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication	 
ORF	Verified	YAL055W	PEX22	1	42177	42719	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation	 
ORF	Verified	YAL054C	ACS1	1	45022	42881	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions	 
ORF	Verified	YAL053W	FLC2	1	45899	48250	Putative FAD transporter; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication	 
ORF	Verified	YAL051W	OAF1	1	48564	51707	Oleate-activated transcription factor; acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication	 
ORF	Verified	YAL049C	AIM2	1	52595	51855	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor	 
ORF	Dubious	YAL047W-A		1	54584	54913	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GEM1/YAL048C	 
ORF	Verified	YAL048C	GEM1	1	54789	52801	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases	 
ORF	Verified	YAL047C	SPC72	1	56857	54989	Component of the cytoplasmic Tub4p (gamma-tubulin) complex; binds spindle pole bodies and links them to microtubules; is regulated by Cdc5 kinase; has roles in astral microtubule formation and stabilization	 
ORF	Verified	YAL046C	AIM1	1	57385	57029	Protein involved in mitochondrial function or organization; null mutant displays elevated frequency of mitochondrial genome loss	 
ORF	Uncharacterized	YAL044W-A		1	57518	57850	Putative protein of unknown function; similar to S. pombe uvi31 which is a putative DNA repair protein	 
ORF	Dubious	YAL045C		1	57796	57488	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A	 
ORF	Verified	YAL044C	GCV3	1	58462	57950	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF	 
ORF	Verified	YAL043C	PTA1	1	61052	58695	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII	DAMP
ORF	Verified	YAL042W	ERV46	1	61316	62563	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport	 
ORF	Dubious	YAL042C-A		1	61608	61231	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene	 
ORF	Verified	YAL041W	CDC24	1	62840	65404	Guanine nucleotide exchange factor for Cdc42p; also known as a GEF or GDP-release factor; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress	DAMP
ORF	Verified	YAL040C	CLN3	1	67520	65778	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote the G1 to S phase transition; plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetly-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry.	 
ORF	Verified	YAL039C	CYC3	1	69525	68716	Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space; human ortholog may have a role in microphthalmia with linear skin defects (MLS)	 
ORF	Verified	YAL038W	CDC19	1	71786	73288	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication	DAMP
ORF	Dubious	YAL037C-B		1	73300	72326	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	 
ORF	Uncharacterized	YAL037C-A		1	73518	73426	Putative protein of unknown function	 
ORF	Uncharacterized	YAL037W		1	74020	74823	Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication	 
ORF	Verified	YAL036C	RBG1	1	76152	75043	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid	 
ORF	Verified	YAL035W	FUN12	1	76427	79435	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2	 
ORF	Verified	YAL034W-A	MTW1	1	79718	80587	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)	DAMP
ORF	Dubious	YAL034C-B		1	79842	79489	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	 
ORF	Verified	YAL034C	FUN19	1	81951	80710	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication	 
ORF	Verified	YAL033W	POP5	1	82706	83227	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs	DAMP
